,PCR,수정주가,CPS,code,year
"2021/12(IFRS연결)
													
													연간컨센서스보기",23.39,"174,500","7,460",011790,2021
2017/12(IFRS연결),16.08,"34,800","2,164",035250,2017
2018/12(IFRS연결),18.81,"32,000","1,701",035250,2018
2019/12(IFRS연결),15.53,"29,600","1,906",035250,2019
2020/12(IFRS연결),-7.67,"23,500","-3,065",035250,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",24.40,"24,050",986,035250,2021
2017/12(IFRS연결),-18.13,"12,400",-684,028050,2017
2018/12(IFRS연결),7.73,"17,600","2,277",028050,2018
2019/12(IFRS연결),4.80,"19,200","4,001",028050,2019
2020/12(IFRS연결),58.53,"13,250",226,028050,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",6.07,"22,900","3,775",028050,2021
2017/12(IFRS연결),21.21,"140,675","6,634",002795,2017
2018/12(IFRS연결),8.83,"72,533","8,219",002795,2018
2019/12(IFRS연결),8.89,"82,700","9,300",002795,2019
2020/12(IFRS연결),7.91,"54,900","6,938",002795,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",5.58,"44,350","7,944",002795,2021
2017/12(IFRS연결),13.30,"97,700","7,347",021240,2017
2018/12(IFRS연결),10.17,"74,100","7,289",021240,2018
2019/12(IFRS연결),12.74,"93,100","7,307",021240,2019
2020/12(IFRS연결),9.53,"72,700","7,627",021240,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",16.57,"74,400","4,489",021240,2021
2017/12(IFRS연결),5.31,"6,059","1,142",010140,2017
2018/12(IFRS연결),25.08,"6,941",277,010140,2018
2019/12(IFRS연결),-6.73,"6,810","-1,011",010140,2019
2020/12(IFRS연결),-18.21,"6,595",-362,010140,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",4.72,"5,670","1,201",010140,2021
2017/12(IFRS연결),7.66,"35,319","4,612",000720,2017
2018/12(IFRS연결),23.75,"53,124","2,237",000720,2018
2019/12(IFRS연결),9.59,"41,157","4,293",000720,2019
2020/12(IFRS연결),2.35,"36,438","15,507",000720,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",4.92,"44,450","9,042",000720,2021
2017/12(IFRS연결),1.14,"23,500","20,622",000060,2017
2018/12(IFRS연결),1.85,"21,850","11,809",000060,2018
2019/12(IFRS연결),1.98,"17,850","9,026",000060,2019
2020/12(IFRS연결),4.80,"14,600","3,041",000060,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",2.13,"33,550","15,767",000060,2021
2017/12(IFRS연결),44.20,"47,450","1,074",047810,2017
2018/12(IFRS연결),22.59,"31,900","1,412",047810,2018
2019/12(IFRS연결),9.36,"34,050","3,637",047810,2019
2020/12(IFRS연결),3.43,"25,800","7,514",047810,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",7.19,"32,450","4,514",047810,2021
2017/12(IFRS연결),-1.47,"8,984","-6,091",006800,2017
2018/12(IFRS연결),-1.06,"6,530","-6,151",006800,2018
2019/12(IFRS연결),-1.82,"7,550","-4,155",006800,2019
2020/12(IFRS연결),9.00,"9,440","1,048",006800,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",-5.51,"8,650","-1,570",006800,2021
2017/12(IFRS연결),4.51,"62,200","13,796",078930,2017
2018/12(IFRS연결),3.85,"51,600","13,402",078930,2018
2019/12(IFRS연결),3.08,"51,600","16,752",078930,2019
2020/12(IFRS연결),2.05,"37,550","18,355",078930,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",3.65,"39,100","10,707",078930,2021
2017/12(IFRS연결),21.68,"36,746","1,695",000105,2017
2018/12(IFRS연결),28.55,"35,858","1,256",000105,2018
2019/12(IFRS연결),48.85,"43,318",887,000105,2019
2020/12(IFRS연결),185.51,"71,873",387,000105,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",46.68,"62,100","1,330",000105,2021
2017/12(IFRS연결),9.53,"35,800","3,757",241560,2017
2018/12(IFRS연결),5.12,"31,500","6,150",241560,2018
2019/12(IFRS연결),7.09,"34,350","4,845",241560,2019
2020/12(IFRS연결),5.26,"29,650","5,639",241560,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",8.88,"40,750","4,589",241560,2021
2017/12(IFRS연결),5.31,"6,059","1,142",010145,2017
2018/12(IFRS연결),25.08,"6,941",277,010145,2018
2019/12(IFRS연결),-6.73,"6,810","-1,011",010145,2019
2020/12(IFRS연결),-18.21,"6,595",-362,010145,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",4.72,"5,670","1,201",010145,2021
2017/12(IFRS연결),6.16,"3,730",606,003410,2017
2018/12(IFRS연결),10.06,"6,290",625,003410,2018
2019/12(IFRS연결),7.83,"5,670",724,003410,2019
2020/12(IFRS연결),8.75,"6,680",764,003410,2020
"2021/12(IFRS연결)
													
													연간컨센서스보기",10.19,"7,710",757,003410,2021
2017/12(IFRS연결),4.51,"62,200","13,796",078935,2017
