,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주),name,code,year
"2021/12
									
(IFRS연결)","1,102",133,133,118,95,95,,"1,235",400,836,836,,76,150,192,-184,8,142,66,12.08,8.58,12.05,7.81,47.84,"1,016.53",618,9.85,"5,602",1.09,20,0.33,3.15,"15,296,603",로체시스템즈,071280,2021
"2017/12
									
(IFRS연결)",967,67,67,71,58,58,0,"1,142",445,698,662,36,83,131,-127,-36,86,45,228,6.93,6.03,9.02,5.68,63.78,717.58,355,11.55,"4,119",1.00,60,1.46,16.67,"16,295,828",지엔씨에너지,119850,2017
"2018/12
									
(IFRS연결)","1,261",65,65,94,74,68,6,"1,272",443,829,744,,83,96,-174,-18,87,8,208,5.17,5.89,9.69,6.15,53.50,824.92,418,10.65,"4,686",0.95,50,1.12,11.66,"16,295,828",지엔씨에너지,119850,2018
"2019/12
									
(IFRS연결)","1,683",91,91,99,81,67,14,"1,424",494,930,806,125,83,1,16,-1,32,-31,187,5.38,4.83,8.65,6.03,53.11,895.58,411,10.92,"5,077",0.88,50,1.11,11.84,"16,295,828",지엔씨에너지,119850,2019
"2020/12
									
(IFRS연결)","1,610",68,68,12,6,30,-24,"1,460",376,"1,083",870,214,83,173,25,-31,27,145,116,4.24,0.38,3.57,0.43,34.72,977.76,184,33.53,"5,549",1.11,50,0.81,26.17,"16,295,828",지엔씨에너지,119850,2020
"2021/12
									
(IFRS연결)","1,465",56,56,53,38,44,-6,"1,654",501,"1,153",939,214,84,139,-104,73,29,110,199,3.80,2.56,4.87,2.41,43.44,"1,051.79",269,17.96,"5,920",0.82,50,1.04,18.00,"16,448,909",지엔씨에너지,119850,2021
"2017/12
									
(GAAP개별)","1,681",22,22,25,17,17,,645,490,155,155,,22,44,-92,51,3,41,100,1.28,1.04,12.39,3.04,316.55,544.46,389,9.26,"3,445",1.04,0,0.00,0.00,"2,961,471",Incar Financial Service,211050,2017
"2018/12
									
(IFRS별도)","1,999",46,46,30,12,12,,"1,280","1,171",109,109,,22,57,-29,-27,7,49,75,2.31,0.62,9.44,1.29,"1,073.13",385.66,277,21.86,"2,428",2.50,0,0.00,0.00,"4,493,990",Incar Financial Service,211050,2018
"2019/12
									
(IFRS연결)","2,444",28,28,48,34,34,,"1,637","1,499",138,138,,22,109,-3,-105,14,95,98,1.15,1.39,,,"1,084.15",515.79,757,7.79,"3,076",1.92,0,0.00,0.00,"4,493,990",Incar Financial Service,211050,2019
"2020/12
									
(IFRS연결)","3,010",147,147,149,113,113,,"1,754","1,503",251,251,,22,77,-120,70,6,71,227,4.87,3.75,58.03,6.66,599.26,"1,017.01","2,512",4.22,"5,582",1.90,0,0.00,0.00,"4,493,990",Incar Financial Service,211050,2020
